num_particles,geometry_manager_time,run_manager_time,total_time
10000000,1.2550859969924204,22.71058618200186,23.96567256101116
10000000,0.4283301039977232,23.62628677599423,24.054617561007035
10000000,0.4685134419996757,24.319250767002814,24.78776474999904
10000000,0.46758252300787717,25.641699115993106,26.10928283999965
10000000,0.46644295199075714,25.29967417199805,25.76611767501163
10000000,0.4906015960004879,25.56595385899709,26.056555955990916
10000000,0.481599520004238,25.53696790599497,26.018567975988844
10000000,0.48808399800327606,25.681949511010316,26.170034069000394
10000000,0.4663042299944209,25.632962463001604,26.099267534009414
10000000,0.47142073200666346,25.614889591000974,26.086311345003196
