scattering_length,PTE_value
100,0.0046155
102,0.0046298
104,0.0046388
106,0.0046454
108,0.0046548
110,0.0046657
112,0.0046767
114,0.0046878
116,0.0046953
118,0.004704
120,0.004715
122,0.0047187
124,0.0047279
126,0.0047381
128,0.0047406
130,0.004747
132,0.0047536
134,0.004755
136,0.0047586
138,0.0047703
140,0.0047789
142,0.0047784
144,0.0047784
146,0.0047845
148,0.0047904
150,0.0047946
152,0.0047975
154,0.0048033
156,0.0048045
158,0.0048119
160,0.0048164
162,0.0048237
164,0.0048276
166,0.0048316
168,0.0048372
170,0.0048401
172,0.0048433
174,0.0048489
176,0.0048547
178,0.0048607
180,0.0048666
182,0.0048708
184,0.0048729
186,0.0048768
188,0.0048771
190,0.0048826
192,0.0048836
194,0.0048868
196,0.0048907
198,0.0048919
200,0.0048966
202,0.0048973
204,0.0049002
206,0.0049024
208,0.0049052
210,0.0049089
212,0.0049127
214,0.004916
216,0.0049191
218,0.0049213
220,0.0049256
222,0.0049307
224,0.0049338
226,0.0049333
228,0.0049339
230,0.0049367
232,0.0049386
234,0.0049405
236,0.0049435
238,0.0049454
240,0.0049504
242,0.0049518
244,0.0049527
246,0.0049564
248,0.0049575
250,0.0049627
252,0.0049651
254,0.0049678
256,0.004967
258,0.0049693
260,0.0049723
262,0.0049739
264,0.0049747
266,0.0049764
268,0.0049787
270,0.0049817
272,0.0049839
274,0.0049867
276,0.0049866
278,0.0049892
280,0.0049888
282,0.0049907
284,0.0049912
286,0.0049911
288,0.0049942
290,0.0049943
292,0.0049963
294,0.0049992
296,0.0050004
298,0.0050015
300,0.0050041
302,0.0050046
304,0.0050074
306,0.0050075
308,0.005007
310,0.0050093
312,0.0050109
314,0.0050119
316,0.005013
318,0.0050151
320,0.0050164
322,0.0050174
324,0.0050195
326,0.0050199
328,0.0050206
330,0.0050226
332,0.0050241
334,0.0050267
336,0.0050281
338,0.0050275
340,0.0050291
342,0.0050316
344,0.0050317
346,0.0050319
348,0.0050326
350,0.0050334
352,0.0050343
354,0.0050334
356,0.0050348
358,0.0050358
360,0.0050334
362,0.0050342
364,0.0050347
366,0.0050351
368,0.0050379
370,0.0050394
372,0.0050404
374,0.0050405
376,0.0050414
378,0.0050427
380,0.0050429
382,0.0050432
384,0.0050422
386,0.0050431
388,0.0050463
390,0.0050457
392,0.0050473
394,0.0050475
396,0.0050478
398,0.0050484
400,0.0050481
