name,stl_filepath,inner_mat,outer_mat,surface,color,displacement x,displacement y,displacement z,solid_type,killing_surface

sipm,/workspace/data_files/stl_files/2023_5_18_teflon_corrected/CurrentWithTeflon - SipmSubAssembly-2 SipmPlate-1.STL,silicon,liquid xenon,FBK HD3,black,0,0,0,pmt,False

source,/workspace/data_files/stl_files/2023_5_18_teflon_corrected/CurrentWithTeflon - source-1 sourcepart3-2.STL,steel,liquid xenon,None,red,0,0,0,none,False

teflon,/workspace/data_files/stl_files/2023_5_18_teflon_corrected/CurrentWithTeflon - TeflonReflector-1.STL,teflon,liquid xenon,teflon-Xe,black,0,0,0,solid,False

silica window,/workspace/data_files/stl_files/2023_5_18_teflon_corrected/CurrentWithTeflon - silicawindow-1 SilicaWindow-1.STL,silica,liquid xenon,None,cyan,0,0,0,solid,False

silica gasket 1,/workspace/data_files/stl_files/2023_5_18_teflon_corrected/CurrentWithTeflon - silicawindow-1 SilicaGasket.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False

silica gasket 2,/workspace/data_files/stl_files/2023_5_18_teflon_corrected/CurrentWithTeflon - silicawindow-1 SilicaGasket.step-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False

copper plate 1,/workspace/data_files/stl_files/2023_5_18_teflon_corrected/CurrentWithTeflon - SiPM-Disk-1-.15mm-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False

copper plate 2,/workspace/data_files/stl_files/2023_5_18_teflon_corrected/CurrentWithTeflon - SiPM-Disk-2-.15mm.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,False



